$PLANT_EVALUATION
  
*EVALUATION : UYAB1901CS  UYT_GXE                    CSYCA048

@RUN EXCODE      TRNO RN CR EDAPS EDAPM B1DAPS B1DAPM B2DAPS B2DAPM B3DAPS B3DAPM B4DAPS B4DAPM B5DAPS B5DAPM B6DAPS B6DAPM B7DAPS B7DAPM B8DAPS B8DAPM B9DAPS B9DAPM B10DPS B10DPM B11DPS B11DPM B12DPS B12DPM B13DPS B13DPM B14DPS B14DPM B15DPS B15DPM B16DPS B16DPM   HWAMS   HWAMM   FWAMS   FWAMM LAIXS LAIXM L#SMS L#SMM BR#SS BR#SM CWAMS CWAMM VWAMS VWAMM HIAMS HIAMM HN%MS HN%MM VN%MS VN%MM CNAMS CNAMM HNAMS HNAMM HINMS HINMM
   1 UYAB1901CS     1  0 CS     8   -99    369     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    2083   12507   12713     -99   4.2   5.0 184.7 -99.0   2.5 -99.0 10196  4729 10196  4729 0.206 0.726   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   2 UYAG1701CS     1  0 CS     9   -99    -99     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    2527   12043   10356     -99   3.3   5.0 155.7 -99.0   1.0 -99.0  8574  9514  8574  9514 0.215 0.559   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   3 UYAG1801CS     1  0 CS    10   -99    327     88    -99    129    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    5423    9363   19617     -99   3.6   5.0 183.1 -99.0   2.5 -99.0  9281 11875  9281 11875 0.358 0.441   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   4 UYAG1901CS     1  0 CS     9   -99    315     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    5621   19619   20955     -99   3.7   5.0 185.0 -99.0   2.5 -99.0  9306  8760  9306  8760 0.366 0.691   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   5 UYIB1701CS     1  0 CS     9   -99    348     86    -99    127    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    4918   15661   18854     -99   3.7   5.0 176.0 -99.0   2.5 -99.0 10080  6194 10080  6194 0.317 0.717   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   6 UYIB1801CS     1  0 CS     9   -99    337     35    -99     76    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7861   19598   27853     -99   3.8   5.0 188.5 -99.0   2.5 -99.0  9851  6726  9851  6726 0.435 0.744   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   7 UYIB1901CS     1  0 CS     8   -99    -99     86    -99    127    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    6325   10594   25906     -99   4.2   5.0 170.6 -99.0   1.0 -99.0  9055  6203  9055  6203 0.401 0.631   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   8 UYIB2001CS     1  0 CS     9   -99    280     53    -99     94    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    9808   16520   34121     -99   3.7   5.0 190.5 -99.0   2.5 -99.0  9177 12906  9177 12906 0.510 0.561   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   9 UYIK1701CS     1  0 CS     9   -99    348     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    3394   13302   14141     -99   3.5   5.0 182.5 -99.0   2.5 -99.0  9882  7812  9882  7812 0.246 0.630   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  10 UYIK1801CS     1  0 CS     9   -99    301     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7661    8592   28117     -99   3.7   5.0 197.7 -99.0   2.5 -99.0  9606  7049  9606  7049 0.436 0.549   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  11 UYIK1901CS     1  0 CS     9   -99    320     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    6343   17732   25075     -99   3.8   5.0 193.9 -99.0   2.5 -99.0  9675 14635  9675 14635 0.387 0.548   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  12 UYKA1801CS     1  0 CS     9   -99    310     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    1107    4143    8039     -99   4.2   5.0 198.2 -99.0   2.5 -99.0  9046  5955  9046  5955 0.103 0.410   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  13 UYMO1701CS     1  0 CS     8   -99    -99     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99      14   16797     369     -99   1.9   5.0 180.1 -99.0   1.0 -99.0  3378  9049  3378  9049 .0036 0.650   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  14 UYMO1801CS     1  0 CS     8   -99    -99     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99      75   10789    7867     -99   3.5   5.0 161.8 -99.0   1.0 -99.0  8678 12240  8678 12240 .0080 0.468   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  15 UYMO1901CS     1  0 CS     8   -99    -99     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99      67    8484    6142     -99   3.2   5.0 182.5 -99.0   1.0 -99.0  8825  7365  8825  7365 .0070 0.535   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
