@RUN EXCODE      TRNO RN CR EDAPS EDAPM B1DAPS B1DAPM B2DAPS B2DAPM B3DAPS B3DAPM B4DAPS B4DAPM B5DAPS B5DAPM B6DAPS B6DAPM B7DAPS B7DAPM B8DAPS B8DAPM B9DAPS B9DAPM B10DPS B10DPM B11DPS B11DPM B12DPS B12DPM B13DPS B13DPM B14DPS B14DPM B15DPS B15DPM B16DPS B16DPM   HWAMS   HWAMM   FWAMS   FWAMM LAIXS LAIXM L#SMS L#SMM BR#SS BR#SM CWAMS CWAMM VWAMS VWAMM HIAMS HIAMM HN%MS HN%MM VN%MS VN%MM CNAMS CNAMM HNAMS HNAMM HINMS HINMM
   1 UYAB1901CS     5  0 CS     8   -99    137    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7910    8916   29225     -99   1.4   3.0 198.3 -99.0   2.7 -99.0  5281  4370  5281  4370 0.614 0.671   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   2 UYAG1701CS     5  0 CS     8   -99    137    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7910   10763   29225     -99   1.4   3.0 198.3 -99.0   2.7 -99.0  5281 10451  5281 10451 0.614 0.507   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   3 UYAG1801CS     5  0 CS     8   -99    137    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7910    8603   29225     -99   1.4   3.0 198.3 -99.0   2.7 -99.0  5281  8941  5281  8941 0.614 0.490   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   4 UYAG1901CS     5  0 CS     8   -99    137    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7910   12410   29225     -99   1.4   3.0 198.3 -99.0   2.7 -99.0  5281 14292  5281 14292 0.614 0.465   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   5 UYIB1801CS     5  0 CS     8   -99    137    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7910    9208   29225     -99   1.4   3.0 198.3 -99.0   2.7 -99.0  5281  7983  5281  7983 0.614 0.536   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   6 UYIB1901CS     5  0 CS     8   -99    137    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7910    8395   29225     -99   1.4   3.0 198.3 -99.0   2.7 -99.0  5281  8286  5281  8286 0.614 0.503   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   7 UYIK1701CS     5  0 CS     8   -99    137    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7910    9350   29225     -99   1.4   3.0 198.3 -99.0   2.7 -99.0  5281  7292  5281  7292 0.614 0.562   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   8 UYIK1801CS     5  0 CS     8   -99    137    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7910    5861   29225     -99   1.4   3.0 198.3 -99.0   2.7 -99.0  5281  6684  5281  6684 0.614 0.467   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   9 UYIK1901CS     5  0 CS     8   -99    137    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7910   14040   29225     -99   1.4   3.0 198.3 -99.0   2.7 -99.0  5281 15729  5281 15729 0.614 0.472   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  10 UYKA1801CS     5  0 CS     8   -99    137    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7910    5941   29225     -99   1.4   3.0 198.3 -99.0   2.7 -99.0  5281  7500  5281  7500 0.614 0.442   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
