"Treatment" "B1DAP" "B2DAP" "B3DAP" "B4DAP"
"1" "1" "1" "1" "1"
"2" "1" "1" "1" "1"
"3" "1" "1" "1" "1"
"4" "1" "1" "1" "1"
"5" "1" "1" "1" "1"
"6" "1" "1" "1" "1"
"7" "1" "1" "1" "1"
"8" "1" "1" "1" "1"
"9" "1" "1" "1" "1"
"10" "1" "1" "1" "1"
"11" "1" "1" "1" "1"
"12" "1" "1" "1" "1"
"13" "1" "1" "1" "1"
"14" "1" "1" "1" "1"
"15" "1" "1" "1" "1"
"16" "1" "1" "1" "1"
"17" "1" "1" "1" "1"
"1" "0" "1" "1" "1"
"2" "1" "1" "1" "1"
"3" "0" "1" "1" "1"
"4" "1" "1" "1" "1"
"5" "1" "1" "1" "1"
"6" "0" "1" "1" "1"
"7" "1" "1" "1" "1"
"8" "1" "1" "1" "1"
"9" "0" "1" "1" "1"
"10" "0" "1" "1" "1"
"11" "1" "1" "1" "1"
"12" "1" "1" "1" "1"
"13" "0" "1" "1" "1"
"14" "1" "1" "1" "1"
"15" "1" "1" "1" "1"
"16" "1" "1" "1" "1"
"17" "1" "1" "1" "1"
"1" "1.61380619058144e-16" "0" "1" "1"
"2" "6.51055884397378e-14" "1" "1" "1"
"3" "3.42659119055631e-15" "0" "1" "1"
"4" "3.42659119055631e-15" "0" "1" "1"
"5" "1.68409036117896e-11" "1" "1" "1"
"6" "6.51055884397378e-14" "0" "1" "1"
"7" "1.10692781497575e-12" "1" "1" "1"
"8" "6.51055884397378e-14" "1" "1" "1"
"9" "3.42659119055631e-15" "0" "1" "1"
"10" "6.51055884397378e-14" "0" "1" "1"
"11" "1.61380619058144e-16" "1" "1" "1"
"12" "1.10692781497575e-12" "1" "1" "1"
"13" "1.10692781497575e-12" "0" "1" "1"
"14" "331.590462642496" "1" "1" "1"
"15" "1.10692781497575e-12" "0" "1" "1"
"16" "3.42659119055631e-15" "1" "1" "1"
"17" "6.51055884397378e-14" "1" "1" "1"
"1" "0" "1" "1" "1"
"2" "1" "1" "1" "1"
"3" "0" "1" "1" "1"
"4" "0" "1" "1" "1"
"5" "0" "1" "1" "1"
"6" "0" "1" "1" "1"
"7" "1" "1" "1" "1"
"8" "0" "1" "1" "1"
"9" "0" "1" "1" "1"
"10" "0" "1" "1" "1"
"11" "1" "1" "1" "1"
"12" "1" "1" "1" "1"
"13" "0" "1" "1" "1"
"14" "1" "1" "1" "1"
"15" "0" "1" "1" "1"
"16" "1" "1" "1" "1"
"17" "1" "1" "1" "1"
"1" "1257.94409230998" "0" "1" "1"
"2" "37.9866200793248" "1" "1" "1"
"3" "806.569081730478" "0" "1" "1"
"4" "1064.82668507451" "0" "1" "1"
"5" "0.111236207985461" "0" "1" "1"
"6" "1.36792253855275e-81" "0" "1" "1"
"7" "331.590462642496" "1" "1" "1"
"8" "87.4062969790317" "0" "1" "1"
"9" "806.569081730478" "0" "1" "1"
"10" "546.700248919979" "0" "1" "1"
"11" "546.700248919979" "1" "1" "1"
"12" "331.590462642496" "1" "1" "1"
"13" "331.590462642496" "0" "1" "1"
"14" "3.25158065544636e-42" "1" "1" "1"
"15" "331.590462642496" "0" "1" "1"
"16" "546.700248919979" "0" "1" "1"
"17" "331.590462642496" "1" "1" "1"
"1" "1064.82668507451" "0.111236207985461" "1" "1"
"2" "14.7728280397934" "2.56486620890214e-19" "1" "1"
"3" "546.700248919979" "0.0248201529021" "1" "1"
"4" "806.569081730478" "0.0248201529021" "1" "1"
"5" "0.0248201529021" "1.70778063406929e-25" "1" "1"
"6" "1.84031612071992e-84" "8.12156263915674e-164" "1" "1"
"7" "179.969888377294" "0.00495573171578099" "1" "1"
"8" "37.9866200793248" "3.42659119055631e-15" "1" "1"
"9" "546.700248919979" "0.000885433969507304" "1" "1"
"10" "331.590462642496" "0.000885433969507304" "1" "1"
"11" "331.590462642496" "3.65535519796324e-40" "1" "1"
"12" "179.969888377294" "2.79314024339655e-09" "1" "1"
"13" "179.969888377294" "2.02529428327443e-05" "1" "1"
"14" "2.58823994368933e-44" "1.84031612071992e-84" "1" "1"
"15" "179.969888377294" "0.00495573171578099" "1" "1"
"16" "331.590462642496" "2.59281602268989e-06" "1" "1"
"17" "179.969888377294" "3.0449068027882e-08" "1" "1"
"1" "3.42659119055631e-15" "0" "1" "1"
"2" "1.68409036117896e-11" "0" "1" "1"
"3" "6.51055884397378e-14" "1.31346542571201e-263" "1" "1"
"4" "6.51055884397378e-14" "7.06442213481109e-239" "1" "1"
"5" "2.29274913035562e-10" "0" "1" "1"
"6" "3.42659119055631e-15" "0" "1" "1"
"7" "1.68409036117896e-11" "3.65740350685889e-311" "1" "1"
"8" "1.68409036117896e-11" "0" "1" "1"
"9" "6.51055884397378e-14" "1.31346542571201e-263" "1" "1"
"10" "1.68409036117896e-11" "7.06668850508202e-295" "1" "1"
"11" "3.42659119055631e-15" "0" "1" "1"
"12" "1.68409036117896e-11" "0" "1" "1"
"13" "1.68409036117896e-11" "7.73340668366903e-274" "1" "1"
"14" "87.4062969790317" "0" "1" "1"
"15" "1.68409036117896e-11" "1.31346542571201e-263" "1" "1"
"16" "1.10692781497575e-12" "0" "1" "1"
"17" "1.10692781497575e-12" "0" "1" "1"
"1" "0" "0" "1" "1"
"2" "0" "1" "1" "1"
"3" "0" "0" "1" "1"
"4" "0" "0" "1" "1"
"5" "0" "0" "1" "1"
"6" "0" "0" "1" "1"
"7" "0" "0" "1" "1"
"8" "0" "0" "1" "1"
"9" "0" "0" "1" "1"
"10" "0" "0" "1" "1"
"11" "0" "0" "1" "1"
"12" "0" "0" "1" "1"
"13" "0" "0" "1" "1"
"14" "0" "0" "1" "1"
"15" "0" "0" "1" "1"
"16" "0" "0" "1" "1"
"17" "0" "0" "1" "1"
"1" "1.68409036117896e-11" "1" "1" "1"
"2" "3.0449068027882e-08" "1" "1" "1"
"3" "2.79314024339655e-09" "1" "1" "1"
"4" "2.79314024339655e-09" "1" "1" "1"
"5" "2.02529428327443e-05" "1" "1" "1"
"6" "8.6554364433714e-21" "1" "1" "1"
"7" "2.97030006245073e-07" "1" "1" "1"
"8" "3.0449068027882e-08" "1" "1" "1"
"9" "2.79314024339655e-09" "1" "1" "1"
"10" "3.0449068027882e-08" "1" "1" "1"
"11" "2.29274913035562e-10" "1" "1" "1"
"12" "3.0449068027882e-08" "1" "1" "1"
"13" "2.97030006245073e-07" "1" "1" "1"
"14" "1.6009021720694" "1" "1" "1"
"15" "2.97030006245073e-07" "1" "1" "1"
"16" "2.79314024339655e-09" "1" "1" "1"
"17" "2.79314024339655e-09" "1" "1" "1"
"1" "3.69518826869284e-27" "0" "1" "1"
"2" "7.06273084503118e-24" "1" "1" "1"
"3" "7.06273084503118e-24" "0" "1" "1"
"4" "7.06273084503118e-24" "0" "1" "1"
"5" "2.61371532967995e-22" "0" "1" "1"
"6" "2.59281602268989e-06" "0" "1" "1"
"7" "8.6554364433714e-21" "0" "1" "1"
"8" "7.06273084503118e-24" "0" "1" "1"
"9" "7.06273084503118e-24" "0" "1" "1"
"10" "2.61371532967995e-22" "0" "1" "1"
"11" "1.70778063406929e-25" "1" "1" "1"
"12" "2.61371532967995e-22" "1" "1" "1"
"13" "2.61371532967995e-22" "0" "1" "1"
"14" "546.700248919979" "1" "1" "1"
"15" "2.61371532967995e-22" "0" "1" "1"
"16" "1.70778063406929e-25" "0" "1" "1"
"17" "7.06273084503118e-24" "0" "1" "1"
