"Treatment" "HWAM" "CWAM" "LAIX" "IntegratedCombinedLikelihood"
15 1 6.40315928302336e-116 3312.99555215285 2.12136382243826e-112
15 1 6.57720812299247e-36 1218.78295232946 8.01618913422607e-33
15 1 1.2005052895244e-45 1366.75062229995 1.64079135153186e-42
15 1 3.46446824847064e-160 1218.78295232946 4.22243484012272e-157
15 1 7.93016083773327e-33 3278.6643008495 2.60003352386708e-29
15 1 6.76074702795932e-83 1366.75062229995 9.24025520767594e-80
15 1 1.55466701208504e-74 2184.06127565251 3.39548801762933e-71
15 1 2.27975719711432e-26 1218.78295232946 2.77852920729333e-23
15 1 5.67437821397524e-16 2933.87772303583 1.66479318340618e-12
15 1 3.03662295496023e-11 2509.47860129004 7.62034032565883e-08
