"B01ND" "B12ND" "B23ND" "B34ND" "BR1FX" "BR2FX" "BR3FX" "BR4FX" "LAXS" "SLAS" "LLIFA" "LPEFR" "LNSLP" "NODWT" "NODLT" "Probability"
1758.827 1597.975 240.227 1088.675 3.34 1.863 1.294 2.705 563.4 256.8 1125 0.221 1.011 5.719 3.371 1
499.2559 397.7056 1363.261 990.2185 3.34 1.863 1.294 2.705 563.4 256.8 1125 0.221 1.011 5.719 3.371 0
675.8616 842.8331 1016.693 1699.266 3.34 1.863 1.294 2.705 563.4 256.8 1125 0.221 1.011 5.719 3.371 0
934.2212 1619.023 1662.781 907.3549 3.34 1.863 1.294 2.705 563.4 256.8 1125 0.221 1.011 5.719 3.371 0
295.4933 186.2051 892.8326 1296.053 3.34 1.863 1.294 2.705 563.4 256.8 1125 0.221 1.011 5.719 3.371 0
1013.392 1266.229 327.1775 620.6194 3.34 1.863 1.294 2.705 563.4 256.8 1125 0.221 1.011 5.719 3.371 0
1454.437 1559.018 1770.211 440.4665 3.34 1.863 1.294 2.705 563.4 256.8 1125 0.221 1.011 5.719 3.371 0
1496.098 437.8812 1027.882 188.517 3.34 1.863 1.294 2.705 563.4 256.8 1125 0.221 1.011 5.719 3.371 0
1143.303 1052.438 490.0749 1010.953 3.34 1.863 1.294 2.705 563.4 256.8 1125 0.221 1.011 5.719 3.371 0
1103.761 1581.514 1446.571 104.7707 3.34 1.863 1.294 2.705 563.4 256.8 1125 0.221 1.011 5.719 3.371 0
