*Soil Carbon Balance Summary

*DSSAT Cropping System Model Ver. 4.8.0.019 -develop  JAN 07, 2022 20:10:05
!                             <----------- Initial State Variables ----------><------------ Final State Variables -----------><------------ Added -----------><-Lost-><-Balance>
!                             <-------- SOM-C -------><-------- FOM-C -------><-------- SOM-C -------><-------- FOM-C -------><---OM---><Senesced><--HarvRes-><--CO2->
!                                     Surf        Soil        Surf        Soil        Surf        Soil        Surf        Soil 
@Run FILEX               TN CR       SC0Di      SOMCTi       LC0Di       LCTDi        SC0D       SOMCT        LC0D        LCTD      OMAC     SENCC      HRCH     CO2TC    CUMBAL
   1 UYAB1901.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
   2 UYAG1701.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
   3 UYAG1801.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
   4 UYAG1901.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
   5 UYIB1801.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
   6 UYIB1901.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
   7 UYIK1701.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
   8 UYIK1801.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
   9 UYIK1901.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
  10 UYKA1801.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
  11 UYMO1701.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
  12 UYMO1801.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
  13 UYMO1901.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
  14 UYON1801.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
  15 UYON1901.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
  16 UYOT1801.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
  17 UYUB1901.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
  18 UYUM1801.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
  19 UYZA1901.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92357.90      510.55      282.25      0.00    792.80      0.00   1440.62      0.02
